zinc_id	prot_id	smiles	net_charge	desolv_apol	desolv_pol	ph_mod_fk	true_logp	true_mwt	hba	hbd	num_aliphatic_rings	num_aromatic_rings	num_heavy_atoms	num_rotatable_bonds	chiral_centers	reactive	reactivity	tpsa	tranche_name	tranche_prefix	calalog
ZINC000008217150	31678615	O=c1ccn([C@H]2C[C@H](O)[C@@H](CO[P@@](=O)([O-])O[P@](=O)([O-])O)O2)c(=O)[nH]1	-2	-3.98	-110.18	1	-2.8527	386.146	11	3	1	1	24	6	[(5, 'R'), (7, 'S'), (9, 'R'), (12, 'R'), (16, 'R')]	0	Anodyne	203	GAABML	GA	hmdbendo
ZINC000008217150	31678556	O=c1ccn([C@H]2C[C@H](O)[C@@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])O)O2)c(=O)[nH]1	-2	-3.98	-110.18	1	-2.8527	386.146	11	3	1	1	24	6	[(5, 'R'), (7, 'S'), (9, 'R'), (12, 'R'), (16, 'S')]	0	Anodyne	203	GAABML	GA	hmdbendo
ZINC000008217150	31678501	O=c1ccn([C@H]2C[C@H](O)[C@@H](CO[P@@](=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1	-3	-3.35	-229.57	0	-3.4847	385.138	12	2	1	1	24	6	[(5, 'R'), (7, 'S'), (9, 'R'), (12, 'R')]	0	Anodyne	206	GAABRL	GA	hmdbendo
ZINC000004228246	82921463	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)([O-])OS(=O)(=O)[O-])[C@@H](O)[C@H]1O	-2	-4.55	-121.93	0	-3.0105	425.272	15	3	1	2	27	6	[(10, 'R'), (12, 'R'), (15, 'R'), (23, 'S'), (25, 'R')]	0	Anodyne	235	IAAARL	IA	hmdbendo
ZINC000001845768	14827371	CNC(=O)CCC(=O)c1cccnc1	0	1.98	-12.92	0	0.7905	192.218	3	1	0	1	14	4	[]	0	Anodyne	59	ACAARN	AC	hmdbendo
ZINC000094437740	17166041	NC(=O)N[C@@H](O)C(=O)[O-]	-1	-7.1	-45.49	0	-3.277	133.083	4	3	0	0	9	2	[(4, 'S')]	0	Anodyne	115	AAABRM	AA	hmdbendo
ZINC000003869291	15225467	O=C([O-])CCCc1cccnc1	-1	4.35	-48.56	0	0.1542	164.184	3	0	0	1	12	4	[]	0	Anodyne	53	ADAARM	AD	hmdbendo
ZINC000005159450	15019281	C[N+]1=CCC[C@H]1c1cccnc1	1	5.69	-35.08	0	1.6296	161.228	1	0	1	1	12	1	[(5, 'S')]	0	Anodyne	15	ADAARO	AD	hmdbendo
ZINC000005419315	30969842	C[N+]1=CCC[C@@H]1c1cccnc1	1	5.75	-35.05	0	1.6296	161.228	1	0	1	1	12	1	[(5, 'R')]	0	Anodyne	15	ADABRO	AD	hmdbendo
ZINC000003650146	14842183	O=C([O-])CC[C@@H]1N=CNC1=O	-1	-0.11	-53.83	0	-1.9568	155.133	4	1	1	0	11	3	[(5, 'S')]	0	Anodyne	81	ABABRM	AB	hmdbendo
ZINC000003650147	14904558	O=C([O-])CC[C@H]1N=CNC1=O	-1	-0.11	-53.59	0	-1.9568	155.133	4	1	1	0	11	3	[(5, 'R')]	0	Anodyne	81	ABABRM	AB	hmdbendo
ZINC000001742333	14829825	CSCC[C@@H](NC=O)C(=O)[O-]	-1	1.16	-43.82	0	-1.396	176.217	4	1	0	0	11	6	[(4, 'R')]	0	Anodyne	69	ABAARM	AB	hmdbendo
ZINC000001529671	70099830	CC(C)(CO[P@](=O)([O-])O)[C@@H](O)C(=O)NCCC(=O)[O-]	-2	-0.12	-109.06	2	-2.893	297.2	7	3	0	0	19	8	[(5, 'R'), (9, 'R')]	0	Anodyne	159	CBABLL	CB	hmdbendo
ZINC000001529671	70099828	CC(C)(CO[P@@](=O)([O-])O)[C@@H](O)C(=O)NCCC(=O)[O-]	-2	-0.12	-108.8	2	-2.893	297.2	7	3	0	0	19	8	[(5, 'S'), (9, 'R')]	0	Anodyne	159	CBABLL	CB	hmdbendo
ZINC000001529671	70099821	CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)[O-]	-3	1.03	-214.8	0	-3.525	296.192	8	2	0	0	19	8	[(9, 'R')]	0	Anodyne	161	CBABRL	CB	hmdbendo
